date,location,total_cases,total_deaths,new_cases,new_deaths,total_vaccinations
2020-10-20,USA,9726290,102877,2120,314,90073883
2021-03-15,France,6243669,277483,5260,945,84303042
2020-04-02,UK,1286643,134563,4357,708,42283532
2022-01-24,France,9922192,393922,1363,709,16738366
2022-11-09,France,8315390,97493,9523,541,28544012
2020-12-06,Brazil,6200646,146800,2292,478,13222092
2020-05-30,Germany,6983896,400213,1538,912,55096192
2022-11-18,India,8783148,496753,3408,970,52262652
2021-04-13,France,5409861,191480,7742,19,62044199
2020-07-08,Japan,4939003,451313,8752,559,22500516
2022-02-08,Brazil,6311326,391670,9291,968,65595379
2020-11-03,UK,5146386,431739,1903,129,27952656
2022-07-04,Canada,8415398,121648,174,292,49127048
2021-04-03,Japan,448345,287307,2230,896,64090988
2022-04-09,Italy,9137682,148790,4287,131,44400447
2022-05-14,India,7827494,87508,4160,355,36143928
2020-05-20,Brazil,3685501,214839,7106,53,54520716
2021-01-07,Canada,1879490,301763,9689,889,85495460
2020-11-13,Brazil,4984445,274270,3171,792,18016653
2020-08-09,UK,6939705,482347,1567,386,15013322
2020-10-09,India,7002587,64926,1151,264,32233240
2022-11-24,Italy,6742471,40633,7619,981,92142201
2022-06-25,France,1454908,208726,6033,214,97735255
2020-10-14,Brazil,3319144,3317,8560,459,69655152
2021-07-07,India,8693670,307124,4946,457,97373795
2021-10-13,Japan,5806466,306259,8234,801,46122921
2020-06-05,Brazil,5744588,192718,1907,42,47252393
2020-03-26,Brazil,5304509,305302,3490,585,44236590
2022-04-01,India,7668216,187035,2535,861,37350259
2020-11-06,Russia,4949499,440847,4173,277,20913579
2020-02-11,Japan,2387312,180388,1293,837,83755432
2020-02-29,India,3693976,367508,4769,753,87141614
2022-11-06,UK,6062903,452558,4796,129,79268697
2022-01-01,Russia,4408224,277648,6871,349,1931886
2021-08-24,Brazil,4035493,199665,2972,705,62323072
2021-07-16,India,9814149,419876,3922,543,26292174
2022-07-28,Japan,5703737,299340,4997,105,77884554
2020-01-09,Canada,1871403,328082,7032,911,49482374
2021-08-27,Italy,5747372,401821,992,715,73008371
2021-04-05,France,4848287,319532,8112,0,24576421
2020-09-16,Brazil,5658796,212369,5287,756,12078274
2021-01-13,USA,821052,55501,2240,583,13376361
2020-05-14,USA,2225300,184381,1476,431,12985977
2021-05-06,Russia,1855567,27043,6426,305,14403636
2020-04-11,Germany,1534837,33635,389,908,44784601
2022-10-10,Russia,3338442,210387,999,526,51704821
2022-12-04,UK,4926203,80691,1855,52,73842653
2020-12-28,Russia,423570,499730,8125,939,56533676
2021-08-09,Brazil,2373139,295276,8850,519,75108644
2020-11-15,Japan,5221816,482603,2763,329,57842746
2021-05-14,USA,9246766,277510,3663,557,38219665
2021-05-07,India,2114792,93944,4986,324,65613568
2021-09-04,USA,8441136,203179,1481,113,82291956
2022-12-23,France,1873421,455796,7256,146,22879380
2021-10-16,Germany,6550670,377411,3731,165,22154011
2021-04-02,Brazil,6081950,451105,7262,378,37252463
2022-08-15,India,6925877,472769,451,138,86970383
2020-06-01,UK,9805685,39236,9729,628,90091695
2020-02-29,India,5967106,266294,3093,298,90134043
2020-08-22,Japan,5118922,373513,882,275,39024021
2020-01-14,UK,7177545,281567,4408,915,40941010
2022-07-23,Germany,5122783,4137,4068,788,39634799
2021-10-06,Canada,5528983,29992,3277,849,1937536
2020-08-01,UK,160775,372684,8566,824,40473459
2021-02-24,USA,7349369,487654,7951,177,775411
2022-05-11,UK,2667867,115140,4690,841,62177705
2022-03-03,Japan,9951907,175993,4595,353,28477793
2022-02-01,France,6655623,121225,4559,153,41067245
2022-05-04,USA,7686841,472585,7291,925,71712069
2021-08-10,France,6978737,329061,8160,200,38433794
2022-08-23,Brazil,1344027,335834,112,877,31420894
2022-01-10,Germany,4166500,296379,5131,114,74511311
2021-05-15,France,7467048,210047,3197,670,4250704
2022-05-23,Brazil,9179875,19122,139,553,46192794
2020-06-12,Brazil,7884479,286100,1424,758,6211095
2021-06-03,UK,497562,63879,2949,67,83302291
2021-04-20,Russia,4578238,58560,3168,444,35016802
2022-07-04,USA,4037776,476016,8708,444,9191571
2021-07-19,USA,4010912,372454,6043,325,85330042
2022-06-05,Canada,4511732,199757,6989,845,56857598
2022-07-12,France,5562067,417876,7236,707,89512947
2020-02-02,Russia,5237196,237268,6261,601,90742618
2022-03-01,Italy,4885211,479280,887,622,53519163
2020-11-02,Germany,6126319,263312,3104,879,99985112
2021-12-20,India,1600396,307268,49,358,64806787
2021-06-04,Japan,3311149,166969,3951,144,28412795
2020-12-11,UK,8511010,146104,3560,274,97490527
2021-01-19,Germany,9555196,314941,18,508,64859792
2021-06-04,Italy,2496081,297438,4821,178,14180224
2022-07-31,Russia,575278,437043,6340,752,54201888
2020-12-13,India,5187480,265660,8058,837,79486069
2022-10-02,Russia,1178049,150823,9665,830,62418571
2022-12-07,Japan,3080201,30373,2606,476,91728101
2022-03-22,Japan,7136029,122026,7846,842,59938552
2021-11-26,Japan,3464442,30270,8643,975,37631760
2022-03-04,Brazil,9663340,403602,6432,413,82438329
2022-07-11,USA,3314692,232931,3765,152,97354741
2020-07-28,India,4719607,195889,2438,103,95941484
2021-06-24,Japan,6285088,65184,9741,74,15671847
2022-12-18,Germany,1110389,210765,6358,127,42343647
2021-08-07,Canada,8416320,37879,8319,710,6747502
2021-07-24,Japan,3912942,498272,5941,665,82091358
2020-12-12,India,8501424,311741,7644,567,13834386
2020-02-08,UK,7468810,432348,4855,789,20415772
2020-01-31,Japan,1635156,3626,6547,344,2732467
2022-10-27,Italy,8523838,85936,7196,530,33543312
2021-10-07,Russia,5001045,495395,5911,158,34731848
2021-10-05,Japan,4463418,234873,6481,537,13944561
2020-08-02,France,9771802,81515,2761,425,58753083
2022-10-24,France,4345760,208137,4456,680,2123361
2022-03-03,USA,7153768,55390,9607,995,31955786
2022-09-26,Germany,3251298,409861,6361,22,5340534
2020-06-13,India,4465150,223032,5693,46,35498387
2022-03-21,Italy,8389012,54144,5788,524,67058544
2021-06-21,Germany,7249903,144454,201,728,34676404
2020-11-15,Germany,4897590,4025,6160,833,90387569
2020-05-08,India,6189573,436442,517,705,28194286
2022-02-23,USA,1323483,341524,7737,143,41794150
2022-05-14,India,1722320,254043,9533,584,84107599
2020-04-28,Russia,2332517,118910,1988,667,95585848
2021-10-14,Russia,3196340,462927,3802,588,55824668
2020-05-15,Brazil,8551881,96055,5808,418,65501051
2022-02-28,India,5387408,388333,7162,680,86778815
2020-04-24,Japan,5692493,205782,6241,972,82499157
2022-05-31,UK,8247752,396659,8399,798,63831751
2020-12-16,Russia,1087341,283539,5633,84,32923613
2021-10-14,UK,6195200,272869,5755,415,75097185
2021-04-20,Japan,3977266,33461,6309,693,39889071
2022-07-30,Brazil,5558956,258072,4117,481,49083251
2020-09-28,India,3031756,41115,8345,455,77980746
2022-09-11,India,843523,110084,1518,826,70921122
2020-12-14,USA,8934845,490103,6163,296,23282710
2021-05-01,Canada,4040479,345876,2600,111,19445940
2021-03-11,Italy,92193,473006,2195,961,18490412
2022-03-03,Brazil,1186887,341701,3554,229,20323796
2020-02-16,India,8896761,333404,2849,95,92377179
2021-04-02,USA,3334817,159762,1742,949,53513484
2020-04-09,India,2715514,263551,1306,679,3381281
2021-05-26,UK,2658571,73568,3849,377,3920549
2022-05-27,Japan,4834357,58560,7519,155,26111683
2020-05-27,Italy,7102173,440556,4195,420,32054404
2021-10-15,Japan,4892472,148866,5178,104,66575094
2022-11-14,Japan,481680,150953,2555,704,6641319
2022-09-16,Russia,5165679,217364,2305,329,72883476
2022-10-17,Italy,6180142,236770,7619,438,54765954
2021-08-07,France,5287118,226024,9280,131,28400150
2022-09-08,Japan,4100673,180775,2642,866,66844871
2020-03-08,Russia,1534026,437570,9369,381,21903634
2020-07-14,France,8704434,91288,6409,137,49873396
2020-11-13,Russia,3467366,471678,4757,942,4554
2021-06-07,Japan,327359,381164,2994,842,71286833
2022-10-04,Italy,317537,361445,8751,269,27655865
2021-11-09,Russia,6953757,249836,1271,549,13550555
2021-08-04,Japan,550222,14390,1813,395,69530131
2021-03-01,Italy,4975026,497619,8801,556,23468659
2022-05-10,India,7795134,218547,2461,912,44590535
2021-11-07,India,2573619,27307,4120,463,64393554
2020-05-26,Germany,2453752,227436,6124,674,13372911
2020-07-08,Italy,9752741,225121,8475,449,60467028
2022-05-17,Germany,7265760,251063,4396,330,25147217
2022-05-05,Brazil,1353038,24502,9283,252,3907336
2021-11-19,Brazil,8639483,488815,816,680,63989763
2021-04-01,UK,4657693,22486,7304,962,16946856
2022-09-17,Brazil,4264694,373957,7331,284,48919841
2021-07-15,Canada,707689,169330,82,273,38892680
2020-01-07,USA,1296516,188788,1920,19,75013969
2020-03-18,UK,9945225,228300,7817,238,29908620
2022-01-14,Japan,3463351,103920,2093,269,40883592
2020-12-24,Germany,9653648,212566,7071,417,55591171
2020-01-05,Japan,1854971,493768,7967,944,58778382
2020-03-25,France,9038807,344912,8367,309,20267512
2020-01-09,Canada,1849396,403964,5285,30,15853093
2021-03-29,Canada,2691276,62785,4937,825,88387786
2021-12-14,Japan,9017469,76050,369,103,51152607
2020-07-06,USA,2526954,22738,1818,681,13917530
2021-08-19,Germany,6549546,74231,2101,185,60012509
2022-02-21,Japan,8007407,73606,3490,127,57597520
2021-10-31,Japan,7385034,486517,1779,209,93851346
2021-07-26,France,7063410,303806,7674,413,65474054
2021-12-07,Italy,9050222,380457,1364,280,94255466
2020-09-01,France,8001482,227369,7294,958,29596474
2021-02-08,Russia,9055605,475450,3676,252,12068217
2022-11-18,France,1072647,277267,2426,18,55014811
2022-11-03,USA,1631107,493896,8264,711,26180354
2020-07-18,Russia,9417063,156688,8089,731,80427044
2020-05-07,Japan,5106563,495898,2962,135,7309356
2022-01-14,Germany,8234679,273326,859,222,84113015
2022-01-27,Japan,6463768,352513,4138,2,69788717
2020-02-20,USA,9694402,492094,2424,962,31222324
2021-11-29,USA,5606594,455229,9256,235,98402591
2021-04-08,Brazil,1950367,162403,4017,853,42713873
2022-02-03,Russia,1910705,177170,8560,464,35850508
2020-05-19,France,1601596,26128,8342,227,53034883
2021-12-22,India,3791481,31556,1134,912,94341910
2022-11-16,Japan,5123122,258470,5166,653,67886141
2020-06-14,USA,7757202,480721,5119,498,72363573
2022-08-25,Germany,6348564,152948,5694,520,61104054
2021-11-30,India,4150276,140021,6136,701,10906180
2020-11-01,Japan,5723601,51962,5485,861,89392369
2022-06-27,Brazil,5354075,90054,4164,916,94852877
2022-12-06,Russia,5279548,202278,2346,971,42884859
2022-01-05,UK,2382357,24099,5039,676,21281121
2022-06-07,Germany,7904069,235943,4897,991,22866887
2021-12-18,France,2245131,405932,8252,138,83337167
2020-10-17,Brazil,4246049,183683,5041,275,54648902
2022-09-24,Russia,8480473,169957,3901,290,20883868
2022-07-20,USA,5455770,315288,1337,52,62554723
2022-03-20,USA,1072200,196292,1184,686,68521411
2021-05-20,India,2906158,7837,4426,109,11195784
2020-04-26,USA,1222869,180427,1551,714,85289488
2022-01-06,France,3125354,178371,1629,947,72868030
2020-04-27,USA,9818159,412375,9519,647,54994643
2022-07-02,Canada,4782883,387356,1526,3,35448909
2020-06-20,Canada,6501632,378824,9865,666,7697965
2020-12-15,Canada,9302640,248003,1361,683,65287032
2022-11-19,Japan,3982588,368946,9765,935,19463692
2022-02-03,France,8083123,102413,4370,869,79175395
2022-12-25,France,9956046,51012,5283,46,62393644
2020-06-09,USA,6160686,130193,7610,93,682932
2021-06-10,Germany,9306167,452521,1993,939,82719534
2020-05-08,Italy,635605,218168,869,559,85195185
2021-07-24,Germany,7479821,148178,1014,751,1205290
2021-12-19,USA,4583897,58123,602,858,40447355
2020-11-21,USA,9203739,111825,690,212,86264019
2020-12-01,India,7413718,8720,8685,435,1280202
2020-01-10,Canada,67661,168733,489,851,87138293
2021-05-31,Japan,6859991,246103,6864,507,59457819
2020-10-08,Italy,7585153,224970,7240,835,36355296
2022-09-25,Russia,5914988,224866,7786,650,17986272
2021-10-10,UK,6558221,480534,8024,204,82796270
2020-04-04,Japan,1307506,499920,294,380,97080437
2021-05-29,Italy,2901614,414336,5488,72,99824547
2021-04-05,France,2966422,150862,4027,515,3121754
2022-11-21,Brazil,3708654,58655,2912,75,77227347
2021-07-13,Germany,7315436,190715,9909,840,4896544
2020-08-28,India,118033,93448,4744,76,3910936
2020-03-03,Italy,9018873,178446,1873,815,4493291
2021-07-16,Japan,5872354,173979,3258,767,6330386
2022-06-10,UK,1215502,181143,2817,409,43414702
2020-08-14,India,9810404,120507,8636,613,10853844
2021-03-22,Italy,2319049,296956,3641,105,14898793
2020-12-02,UK,6292518,311714,4458,844,57598752
2022-09-27,Brazil,7587768,313045,5307,550,81584887
2021-05-10,India,3720464,60186,8933,475,19963714
2022-07-29,Italy,2192614,122066,2041,825,69842061
2021-01-11,Germany,770173,390508,679,274,43021774
2020-06-07,Canada,5642264,181323,5738,87,56187808
2022-11-26,Canada,467010,196243,5668,722,47495465
2022-10-24,India,1655016,36160,9550,880,9946581
2022-06-17,Canada,4221038,19156,7697,76,85865152
2022-04-28,France,9312483,76208,8033,76,78098270
2021-06-28,France,8376430,473196,62,441,79475490
2022-10-12,Brazil,3880993,465536,7829,539,32381855
2020-11-23,Canada,2568103,149001,7352,244,47934390
2022-11-23,Russia,8469872,459822,6915,577,177589
2022-06-08,UK,8411883,481658,8326,777,17648459
2021-01-29,Brazil,6482532,231226,3644,381,24771506
2022-07-16,India,5196467,455775,4970,981,83603151
2022-02-27,Russia,5952793,447421,8003,716,75504058
2022-09-29,Russia,8961343,241766,3278,569,50060743
2021-01-01,Canada,2000609,461691,7296,712,1854711
2020-11-23,Brazil,9301434,195413,9014,736,53176461
2020-08-25,Brazil,2697143,357521,3074,141,12134801
2020-05-18,UK,9251130,305007,8312,892,65837792
2020-01-08,France,9192300,212909,7552,367,71515319
2021-07-28,India,9549765,65439,1637,83,94856555
2022-11-10,India,1314532,138266,5103,142,85233456
2022-01-22,Italy,421240,202459,9116,351,96105441
2020-09-10,Germany,944789,121361,644,544,93992123
2020-02-22,Japan,2213573,212986,2032,912,94185584
2020-11-14,Canada,8914501,197286,2761,151,3921076
2020-11-02,USA,2255363,358320,2068,157,40576901
2020-05-03,Germany,8375741,492508,241,445,654405
2022-08-22,Brazil,5056861,29777,2668,652,68244053
2020-03-08,Brazil,6436446,256427,802,957,50326407
2022-12-23,France,4148887,157255,5059,762,46117348
2022-05-10,Italy,9595702,420661,195,302,81255822
2022-09-16,Germany,9057014,198110,2187,623,14094233
2022-05-03,Germany,3668866,349345,2330,655,29903398
2021-05-11,UK,4612338,409414,4841,449,35733432
2020-06-03,USA,1033255,414627,3606,720,51227657
2021-06-21,Italy,7082212,181649,8468,223,27342850
2021-08-17,USA,8202787,278011,60,42,92139309
2021-03-02,France,4989847,62501,3927,263,29397653
2021-09-21,Brazil,8929285,145338,6296,755,77555778
2021-07-26,Germany,7643603,301566,2591,2,22047424
2020-10-17,France,3094235,166280,8758,636,74815459
2020-10-18,Italy,9560067,121544,9763,267,66557245
2020-07-28,India,5986126,424429,6121,595,83993656
2021-08-09,Germany,2859653,138439,1200,15,30149263
2021-11-11,Russia,387952,255230,2854,333,80948111
2022-11-07,France,1030117,472242,7024,463,93505906
2020-10-07,Germany,2896818,35362,9428,58,99051894
2020-01-09,Russia,2357821,250449,6972,176,64163891
2021-10-06,Canada,8913742,313732,136,62,28214995
2022-03-15,Russia,5584263,169357,1029,957,59449384
2022-04-19,Canada,244761,126683,2594,560,8928047
2021-02-08,Brazil,8386180,256157,7206,306,26683482
2021-04-15,Germany,64323,205827,661,245,71883651
2021-12-11,Russia,1237715,202918,2472,288,32370271
2022-10-28,Italy,8040979,298451,86,797,59084641
2021-01-20,Germany,954480,488383,6219,954,30251750
2021-08-15,Brazil,6681134,342424,8143,331,99615319
2021-08-13,India,854016,413083,6968,526,73851484
2022-07-23,India,5347417,318667,2773,849,7599789
2020-04-09,Canada,9253517,477377,1700,254,51177947
2022-10-28,Germany,5809701,399594,2700,603,26470508
2022-02-27,Russia,9439101,215757,6815,509,17088725
2020-08-28,UK,8671370,107669,1647,790,62764724
2020-05-08,Germany,9993726,208030,6038,717,8837528
2020-10-19,Russia,2883427,158998,5164,605,20424232
2022-03-17,UK,1416012,103215,5520,736,93649528
2020-03-27,Italy,5752810,98707,3687,812,23341132
2020-05-17,USA,571650,406396,596,829,43931742
2020-04-12,Italy,4476576,92837,4545,462,9881960
2021-01-31,Italy,8774533,380214,8676,198,32612132
2022-10-22,India,2863793,430147,8837,270,20730538
2021-10-29,UK,4909047,417230,4757,745,55341217
2021-02-27,Italy,6881289,245847,4384,557,61075920
2021-03-21,Brazil,7422212,227544,8912,63,85869366
2022-09-19,USA,3757974,342016,4733,229,71167539
2021-08-31,Japan,8791689,451718,7081,941,71161812
2020-08-10,USA,7211179,349880,8690,951,85510691
2020-07-31,India,8767500,267614,7117,248,47275957
2020-03-21,Italy,4199591,227467,4729,245,49134778
2022-07-16,Japan,5500545,146025,1673,939,77450999
2020-03-04,Canada,8291923,235652,8306,586,1779763
2021-04-20,Canada,3154240,431723,9928,156,25285095
2022-10-15,France,9045310,355113,7178,734,52669970
2022-01-03,Germany,7796324,91493,2294,701,46869899
2020-11-13,Russia,8112074,268667,3630,984,6135599
2021-01-26,Canada,2190222,217995,146,563,5756635
2021-08-02,Russia,2719269,188262,3453,949,76166891
2020-10-12,Brazil,7235574,440977,4507,87,75961038
2020-08-23,UK,5672354,293313,5783,312,95011983
2020-01-02,France,5205597,45641,7751,850,74715116
2022-08-24,UK,5284958,154062,5628,65,53321926
2021-07-25,UK,786667,29661,8328,661,71031598
2021-02-08,Russia,9742257,144491,3360,19,82351426
2020-08-24,France,1712503,276601,3005,32,54654750
2020-08-04,India,3609736,329744,3552,839,82470219
2022-05-25,Russia,8060833,103619,18,792,49633835
2020-12-20,India,6638155,338246,2242,557,2592177
2020-03-18,Russia,1384418,33085,6318,72,49988386
2020-10-14,Japan,386594,97064,5097,865,82903542
2021-09-21,Canada,2869760,181726,8640,824,92680660
2021-08-26,USA,1092501,399346,1948,342,80738265
2020-01-27,UK,5238331,105723,9137,132,66795446
2021-08-19,Russia,8525631,133114,5618,54,92526273
2021-08-03,France,1135964,332278,4236,60,37207821
2021-12-28,France,9872232,305126,6901,856,68561261
2022-12-20,Italy,2155748,491638,1920,519,75996931
2020-09-18,USA,3925282,327329,4188,271,53106576
2022-02-07,Italy,873172,33477,238,245,54320366
2021-05-06,India,8910852,114161,204,175,33136196
2021-05-16,Italy,5655378,314853,5552,627,74804119
2020-10-06,Italy,4873594,159788,4927,316,92371504
2021-07-23,Canada,4063309,340281,4390,782,38669110
2021-01-20,Russia,6941245,298162,2687,704,63828934
2021-01-04,USA,9451244,139133,4951,661,88478358
2020-09-23,Italy,7817304,139681,6160,130,31974794
2021-07-05,India,829735,297515,5388,101,71630450
2022-05-16,Germany,7021862,241422,9540,309,86887521
2020-04-08,France,8351245,345165,5126,781,60670334
2020-11-12,UK,5282591,414021,816,291,46440046
2021-07-27,Brazil,7483058,270001,9012,721,24239388
2021-02-24,Brazil,2562469,142692,192,494,52222260
2022-01-06,Russia,3086176,8177,1776,360,61073012
2021-01-23,Brazil,6509590,423327,3645,337,332003
2022-05-01,UK,5345854,251842,6314,578,28928346
2021-05-16,USA,7490200,350722,8442,9,46499830
2022-04-09,Germany,4883680,477397,1788,48,9092713
2020-04-27,Italy,3681262,89941,7374,486,51123541
2021-06-30,Brazil,4633078,258121,3700,622,5283711
2021-09-24,Brazil,2609089,11826,9359,320,61637870
2022-05-27,India,2508749,144962,3893,730,25302627
2021-07-10,Canada,914228,344572,6811,568,57878191
2021-06-25,Canada,953959,126044,9288,794,6848861
2022-08-07,France,7905477,189103,2679,970,67203002
2022-10-05,Japan,3369538,337164,3904,624,76708294
2021-08-31,France,345266,5495,7260,132,73957816
2021-07-14,Germany,9927209,28481,504,582,94718712
2020-03-17,Italy,4537358,142339,9813,82,24589899
2021-10-08,USA,9496563,380041,9579,56,59853314
2021-11-21,France,6867100,236774,6773,375,72377704
2022-09-04,France,5275034,137815,3816,348,66838815
2020-10-15,USA,7553974,448016,717,270,29320165
2020-04-23,India,9803005,103475,4434,482,86231325
2022-03-02,USA,6097091,179845,658,110,33138062
2020-12-04,UK,3177993,319186,5057,868,28688457
2022-12-22,Italy,7705092,49476,4008,886,37774774
2021-10-04,Russia,7583354,223177,4994,75,20868218
2021-07-18,Russia,3131209,290696,4234,157,97115512
2021-02-11,Brazil,9612128,196314,3764,531,46471973
2022-10-26,USA,5813365,438988,4637,932,99286158
2021-05-05,UK,4057893,436946,2104,642,7800989
2020-05-10,Germany,5691276,160020,9447,328,48842175
2022-03-13,Brazil,5397662,207383,6801,121,57724313
2021-08-14,Germany,9828366,69093,8575,40,84036716
2021-02-06,UK,1805468,69123,2607,166,10372802
2020-01-27,USA,3427975,16535,8385,921,53179481
2021-12-24,Russia,6356228,328634,3719,641,76399612
2022-08-17,Russia,8514716,46562,2581,22,63044557
2020-07-28,Canada,5525633,381186,2565,278,5871006
2021-03-11,Canada,2080154,256323,2763,762,87484365
2022-05-12,Germany,2244702,351224,6328,468,50093049
2022-05-25,UK,3377778,258916,5991,399,29422887
2021-09-27,India,5735193,189607,3406,8,95234760
2021-04-28,India,7726890,230063,8923,12,15060013
2021-09-12,USA,5897498,41269,4780,923,83036647
2022-11-21,Russia,8357956,80674,4177,922,37540458
2022-11-27,Germany,8204298,304606,6476,818,27652265
2021-12-03,Russia,8776957,396343,2604,831,81072995
2022-12-27,Brazil,9451337,285291,8181,51,29962659
2020-05-17,UK,5843493,438744,2382,208,92133323
2020-06-03,Canada,3386501,77095,531,549,31540226
2021-01-07,France,7395350,244172,6079,611,21614161
2020-03-20,Russia,4588334,200003,634,704,72369414
2022-06-30,Russia,8464685,90925,9961,401,11619102
2022-11-04,Brazil,7168362,66381,2,190,17736000
2022-06-07,France,4327819,99468,8397,50,9526878
2020-03-06,Canada,7284953,242330,5951,392,81212991
2021-07-02,Canada,1255564,325893,5626,652,45779189
2020-10-13,Canada,8514493,431888,7739,679,81641948
2020-02-07,Italy,8930264,13731,6003,822,55860482
2022-07-20,Russia,9059296,386791,2890,620,89368354
2021-01-02,Russia,4424507,447728,6239,718,24994574
2022-09-28,USA,2792427,491874,8026,938,39352556
2022-10-22,India,3357679,51024,3306,299,21576654
2020-07-22,Canada,5748035,116712,897,621,45726374
2021-11-21,Canada,4390020,101121,9277,195,17587679
2021-03-26,France,2681719,265976,9471,416,25253213
2021-11-17,USA,890695,32332,670,663,20330625
2022-09-12,Brazil,838761,12467,7291,419,50479360
2021-09-28,Germany,7367664,41025,1505,754,38042415
2021-04-20,Russia,8888923,144179,6460,639,66492784
2021-01-28,Japan,5352825,77994,5167,616,74976175
2020-05-01,Canada,9688053,94202,5255,521,43664777
2022-11-12,France,8887324,43481,249,355,31727389
2022-08-28,Japan,3321127,395797,6457,147,27669922
2021-07-10,Canada,2559272,75118,1892,364,72884333
2021-07-22,India,2276106,386154,3439,363,19920308
2021-03-07,France,6960534,444854,2854,970,61098488
2020-02-02,Italy,7374592,123714,9695,651,96707617
2022-01-14,Canada,6575716,401634,3792,701,98030879
2021-02-05,France,2002324,224699,5330,401,77215563
2021-10-24,France,6262105,160185,7871,605,19264490
2020-04-25,Canada,6671318,84363,8235,491,34730238
2021-10-29,Canada,494592,385751,3612,228,54790138
2022-01-04,Germany,3578226,325188,2618,574,25053317
2020-02-17,Japan,6149031,211027,4678,851,54824422
2021-08-31,Russia,2427540,454246,3163,536,40937045
2020-01-26,USA,1715630,273958,9480,267,9571914
2021-06-10,UK,318408,361484,2942,404,50678406
2020-01-08,Russia,8856884,272168,8411,792,71143212
2022-02-12,Germany,8900019,194360,1925,10,86676140
2021-12-23,USA,3117172,371380,2972,319,86658260
2022-07-08,India,9272985,57836,990,712,6526784
2022-06-11,Japan,6304680,269579,1812,125,12492125
2020-06-21,France,4235042,460300,8995,305,8964214
2022-12-24,Italy,1898739,255095,489,701,83361052
2020-10-15,Russia,9617944,332745,5876,510,73887970
2022-09-02,UK,1017433,481632,9685,88,63108602
2020-06-26,Italy,8104010,261176,3645,354,94166516
2021-04-22,France,4661029,383015,7081,627,24081619
2020-02-28,Canada,3678086,249717,2891,351,97300835
2020-06-12,Brazil,1581530,134479,9897,688,71791292
2020-12-07,Germany,2087258,361087,3516,13,96698006
2020-11-11,Italy,4856447,32940,3340,256,56830174
2020-03-01,Canada,8369066,5666,6410,208,68718207
2021-10-02,India,6857658,299266,53,280,82695927
2020-11-22,Germany,996530,380791,2575,442,81503422
2021-03-14,Italy,9159861,156164,615,839,39906
2020-09-09,USA,2601623,391897,5944,836,26811886
2021-08-11,Russia,9766854,385546,7404,388,66657516
2021-08-01,Brazil,6231219,206717,954,616,38777877
2022-04-22,USA,4108997,363334,1629,482,73672006
2022-05-07,UK,3364695,362612,6859,146,97992224
2021-12-01,Canada,1045482,391351,8841,278,77996396
2021-07-16,USA,5786265,26505,3278,520,8638307
2022-01-20,UK,5908635,36713,5455,629,78820395
2021-12-02,Japan,7487345,447603,3801,605,40225919
2022-12-05,Brazil,9683910,305313,2561,433,82486874
2022-11-29,Japan,570451,204354,6539,143,68777280
2020-10-02,Russia,8408424,77511,370,288,38009017
2020-05-22,Italy,967344,444958,857,385,13952621
2022-01-29,Brazil,2412149,302666,4886,13,96000797
2022-08-26,Canada,5398869,212204,7485,256,66094037
2022-01-26,Russia,3352252,250694,383,345,36759899
2022-07-17,France,3732839,249836,4334,697,62040052
2020-04-29,Italy,9427504,234561,4290,344,19369440
2020-01-30,Canada,7022336,361541,2725,399,59523993
2021-02-07,Japan,5768927,3880,6204,206,45367230
2022-04-14,Germany,2878604,436670,6111,857,83938890
2021-09-21,France,4327858,448927,4251,942,65228699
2021-05-31,Russia,7433533,43539,922,171,17947544
2022-05-15,Brazil,8652831,240056,2915,463,70947772
2020-06-15,Japan,5984684,461537,7957,269,38343966
2022-03-13,Japan,2694287,219057,3046,220,98649538
2020-11-20,France,6511634,14799,9166,151,52983904
2020-07-25,Brazil,4621056,104843,1230,622,52375865
2020-01-06,Germany,8976973,453318,7647,182,83781652
2022-09-24,Italy,703662,443942,4933,398,81816356
2022-07-12,Italy,1305585,48784,9555,850,64330303
2021-01-06,India,4092097,113034,3940,71,63290864
2020-04-12,France,2659440,436549,6483,417,62579835
2022-04-16,Canada,9988209,434044,203,897,18252388
2021-10-17,UK,3943645,200598,160,282,70592340
2021-10-09,Brazil,4495013,54362,8960,73,39528013
2022-01-04,USA,6094467,53997,3748,354,5639113
2022-05-21,Italy,9623424,181413,6718,726,66594502
2020-05-09,Japan,5517366,412289,2581,496,41201116
2021-07-14,Russia,3448678,364543,1093,327,85089214
2021-09-20,Japan,9515807,276693,4500,987,27913063
2021-10-18,India,5211593,477011,8799,534,75593405
2021-02-14,Germany,8370262,319064,5710,579,55961702
2022-05-14,Italy,4846769,216398,9732,909,67905298
2021-12-01,Germany,7449607,468731,2875,446,43826634
2021-08-21,UK,4043064,260464,3191,372,90246273
2020-07-25,Russia,2602967,413532,1837,361,28279536
2021-07-27,France,3438550,157255,689,92,34994309
2021-02-02,India,76218,356004,3759,320,23882152
2020-10-09,USA,6878974,24624,2103,323,1537458
2020-11-11,Brazil,770044,193587,365,383,2792836
2022-11-15,UK,5579079,234784,8092,574,390056
2021-05-30,Japan,3185714,478997,4172,735,15283869
2021-06-29,France,1728096,46705,6033,736,12001784
2021-11-02,Brazil,8736347,89326,2378,880,16243558
2022-09-12,Italy,8860935,419972,1205,345,24524989
2020-06-17,Brazil,7667105,322534,4988,848,78240355
2020-10-10,India,2694946,68369,5669,102,96430001
